timestamp_seconds,frame_idx,face_id,x,y,w,h
71.100000,2133,1,306,97,111,111
71.133333,2134,1,307,96,112,112
71.166667,2135,1,306,95,113,113
71.200000,2136,1,305,96,113,113
71.233333,2137,1,305,96,113,113
71.266667,2138,1,305,96,112,112
71.300000,2139,1,304,96,113,113
71.333333,2140,1,306,98,111,111
71.366667,2141,1,305,97,112,112
71.400000,2142,1,306,98,110,110
71.433333,2143,1,306,98,110,110
71.466667,2144,1,306,98,111,111
71.500000,2145,1,305,96,113,113
71.533333,2146,1,305,96,114,114
71.566667,2147,1,307,97,113,113
71.600000,2148,1,309,98,112,112
71.633333,2149,1,311,99,109,109
71.666667,2150,1,313,101,107,107
71.700000,2151,1,315,103,106,106
71.733333,2152,1,316,104,104,104
71.766667,2153,1,317,104,104,104
71.800000,2154,1,317,106,103,103
71.833333,2155,1,317,106,104,104
71.866667,2156,1,316,108,105,105
71.900000,2157,1,317,107,104,104
71.933333,2158,1,319,108,103,103
71.966667,2159,1,322,110,100,100
72.000000,2160,1,321,111,102,102
72.033333,2161,1,322,112,100,100
72.066667,2162,1,321,111,102,102
72.100000,2163,1,322,113,100,100
72.133333,2164,1,322,114,101,101
72.166667,2165,1,323,113,101,101
72.200000,2166,1,322,114,101,101
72.233333,2167,1,321,111,105,105
72.266667,2168,1,320,112,106,106
72.300000,2169,1,320,112,105,105
72.333333,2170,1,320,113,104,104
72.366667,2171,1,321,112,104,104
72.400000,2172,1,322,112,101,101
72.433333,2173,1,324,113,99,99
72.466667,2174,1,322,112,100,100
72.500000,2175,1,324,112,100,100
72.533333,2176,1,323,111,100,100
72.566667,2177,1,322,109,101,101
72.600000,2178,1,319,107,103,103
72.633333,2179,1,317,104,106,106
72.666667,2180,1,318,103,106,106
72.700000,2181,1,315,103,107,107
72.733333,2182,1,315,101,109,109
72.766667,2183,1,312,98,110,110
72.800000,2184,1,308,97,112,112
72.833333,2185,1,306,97,113,113
72.866667,2186,1,306,97,112,112
72.900000,2187,1,306,97,111,111
72.933333,2188,1,305,98,111,111
72.966667,2189,1,304,98,111,111
73.000000,2190,1,305,99,111,111
73.033333,2191,1,305,99,111,111
73.066667,2192,1,305,100,110,110
73.100000,2193,1,306,100,109,109
73.133333,2194,1,306,100,109,109
73.166667,2195,1,306,100,110,110
73.200000,2196,1,305,100,111,111
73.233333,2197,1,305,99,112,112
73.266667,2198,1,306,100,111,111
73.300000,2199,1,307,100,110,110
73.333333,2200,1,307,100,110,110
73.366667,2201,1,307,99,112,112
73.400000,2202,1,306,99,112,112
73.433333,2203,1,307,101,110,110
73.466667,2204,1,307,102,108,108
73.500000,2205,1,307,102,109,109
73.533333,2206,1,306,102,108,108
73.566667,2207,1,307,103,109,109
73.600000,2208,1,306,102,110,110
73.633333,2209,1,306,101,109,109
73.666667,2210,1,307,101,109,109
73.700000,2211,1,308,101,108,108
73.733333,2212,1,308,101,108,108
73.766667,2213,1,307,100,109,109
73.800000,2214,1,307,100,110,110
73.833333,2215,1,307,101,109,109
73.866667,2216,1,307,101,109,109
73.900000,2217,1,306,100,110,110
73.933333,2218,1,307,102,109,109
73.966667,2219,1,306,103,110,110
74.000000,2220,1,307,105,109,109
74.033333,2221,1,307,108,107,107
74.066667,2222,1,308,108,106,106
74.100000,2223,1,311,110,105,105
74.133333,2224,1,309,111,105,105
74.166667,2225,1,309,112,106,106
74.200000,2226,1,310,111,109,109
74.233333,2227,1,310,114,109,109
74.266667,2228,1,310,114,110,110
74.300000,2229,1,309,114,109,109
74.333333,2230,1,309,113,111,111
74.366667,2231,1,308,112,112,112
74.400000,2232,1,308,112,112,112
74.433333,2233,1,307,111,112,112
74.466667,2234,1,307,112,111,111
74.500000,2235,1,307,112,111,111
74.533333,2236,1,306,111,111,111
74.566667,2237,1,306,109,111,111
74.600000,2238,1,303,107,112,112
74.633333,2239,1,306,110,110,110
74.666667,2240,1,306,110,107,107
74.700000,2241,1,307,111,106,106
74.733333,2242,1,306,110,107,107
74.766667,2243,1,306,109,108,108
74.800000,2244,1,308,107,109,109
74.833333,2245,1,308,107,109,109
74.866667,2246,1,305,104,111,111
74.900000,2247,1,306,103,110,110
74.933333,2248,1,308,104,107,107
74.966667,2249,1,307,104,108,108
75.000000,2250,1,307,102,109,109
75.033333,2251,1,306,100,111,111
75.066667,2252,1,305,98,112,112
75.100000,2253,1,306,98,112,112
75.133333,2254,1,306,97,112,112
75.166667,2255,1,306,95,112,112
75.200000,2256,1,307,95,112,112
75.233333,2257,1,307,96,112,112
75.266667,2258,1,307,98,112,112
75.300000,2259,1,308,99,111,111
75.333333,2260,1,309,99,110,110
75.366667,2261,1,309,99,109,109
75.400000,2262,1,314,102,104,104
75.433333,2263,1,315,104,103,103
75.466667,2264,1,316,103,104,104
75.500000,2265,1,314,102,106,106
75.533333,2266,1,313,102,107,107
75.566667,2267,1,313,103,106,106
75.600000,2268,1,312,104,107,107
75.633333,2269,1,312,104,106,106
75.666667,2270,1,312,104,106,106
