timestamp_seconds,frame_idx,face_id,x,y,w,h,emotion,emotion_score
66.366667,191,1,291,94,111,111,neutral,0.9541
66.400000,192,1,290,94,109,109,neutral,0.9680
66.433333,193,1,290,94,109,109,neutral,0.9679
66.466667,194,1,291,94,109,109,neutral,0.9631
66.500000,195,1,292,95,109,109,neutral,0.9641
66.533333,196,1,292,94,109,109,neutral,0.9618
66.566667,197,1,292,95,108,108,neutral,0.9631
66.600000,198,1,293,94,108,108,neutral,0.9682
66.633333,199,1,294,94,107,107,neutral,0.9775
66.666667,200,1,295,94,106,106,neutral,0.9783
66.700000,201,1,296,94,106,106,neutral,0.9691
66.733333,202,1,296,94,106,106,neutral,0.9771
66.766667,203,1,296,94,103,103,neutral,0.9815
66.800000,204,1,296,93,104,104,neutral,0.9830
66.833333,205,1,296,90,103,103,neutral,0.9791
66.866667,206,1,298,91,101,101,neutral,0.9777
66.900000,207,1,296,89,106,106,neutral,0.9798
66.933333,208,1,299,89,106,106,neutral,0.9821
66.966667,209,1,302,90,104,104,neutral,0.9822
67.000000,210,1,304,92,101,101,neutral,0.9824
67.033333,211,1,307,91,100,100,neutral,0.9845
67.066667,212,1,306,90,102,102,neutral,0.9887
67.100000,213,1,309,90,99,99,neutral,0.9821
67.133333,214,1,311,90,98,98,neutral,0.9821
67.166667,215,1,313,89,100,100,neutral,0.9891
67.200000,216,1,316,90,99,99,neutral,0.9895
67.233333,217,1,316,90,98,98,neutral,0.9881
67.266667,218,1,320,92,95,95,neutral,0.9886
67.300000,219,1,321,93,94,94,neutral,0.9893
67.333333,220,1,320,92,96,96,neutral,0.9878
67.366667,221,1,319,92,98,98,neutral,0.9902
67.400000,222,1,318,91,100,100,neutral,0.9881
67.433333,223,1,317,90,104,104,neutral,0.9834
67.466667,224,1,319,92,100,100,neutral,0.9896
67.500000,225,1,321,93,99,99,neutral,0.9917
67.533333,226,1,321,94,100,100,neutral,0.9906
67.566667,227,1,320,93,102,102,neutral,0.9869
67.600000,228,1,320,94,102,102,neutral,0.9788
67.633333,229,1,324,94,102,102,neutral,0.9649
67.666667,230,1,323,94,102,102,neutral,0.9528
67.700000,231,1,327,97,102,102,neutral,0.9666
67.733333,232,1,328,97,102,102,neutral,0.9651
67.766667,233,1,327,98,101,101,neutral,0.9457
67.800000,234,1,328,99,100,100,neutral,0.9530
67.833333,235,1,331,100,102,102,neutral,0.9629
67.866667,236,1,332,102,101,101,neutral,0.9608
67.900000,237,1,333,102,100,100,neutral,0.9500
