timestamp_seconds,frame_idx,face_id,x,y,w,h,yaw,pitch,eye_away,looking_at_camera
67.166667,215,1,313,89,100,100,-3.3,-2.5,0.439,0
67.200000,216,1,316,90,99,99,-2.5,-2.3,0.443,0
67.233333,217,1,316,90,98,98,-2.8,-3.0,0.348,0
67.266667,218,1,320,92,95,95,-1.9,-2.8,0.364,0
67.300000,219,1,321,93,94,94,-1.7,-2.7,0.371,0
67.333333,220,1,320,92,96,96,-1.6,-2.6,0.363,0
67.366667,221,1,319,92,98,98,-0.9,-2.3,0.334,0
67.400000,222,1,318,91,100,100,-0.3,-2.3,0.525,0
67.433333,223,1,317,90,104,104,0.2,-1.5,0.542,0
67.466667,224,1,319,92,100,100,0.7,-1.4,0.467,0
67.500000,225,1,321,93,99,99,1.7,-0.7,0.492,0
67.533333,226,1,321,94,100,100,2.1,-0.6,0.608,0
67.566667,227,1,320,93,102,102,2.5,-0.3,0.536,0
67.600000,228,1,320,94,102,102,3.2,1.0,0.521,0
67.633333,229,1,324,94,102,102,5.3,2.8,0.447,0
67.666667,230,1,323,94,102,102,5.3,3.3,0.498,0
67.700000,231,1,327,97,102,102,6.3,3.2,0.599,0
67.733333,232,1,328,97,102,102,7.4,3.4,0.479,0
67.766667,233,1,327,98,101,101,8.4,3.7,0.429,0
67.800000,234,1,328,99,100,100,8.6,3.9,0.400,0
67.833333,235,1,331,100,102,102,9.7,4.6,0.402,0
67.866667,236,1,332,102,101,101,9.7,5.0,0.340,0
67.900000,237,1,333,102,100,100,10.2,5.7,0.273,1
67.933333,238,1,329,102,103,103,9.4,6.4,0.366,0
67.966667,239,1,329,103,102,102,9.4,6.5,0.318,0
68.000000,240,1,328,105,100,100,8.4,7.3,0.269,1
68.033333,241,1,328,105,100,100,8.3,7.2,0.272,1
68.066667,242,1,328,104,101,101,8.1,7.3,0.297,1
68.100000,243,1,328,104,101,101,8.1,7.6,0.255,1
68.133333,244,1,327,105,100,100,7.8,7.5,0.255,1
68.166667,245,1,327,106,99,99,7.8,7.5,0.213,1
68.200000,246,1,327,107,100,100,7.6,8.2,0.182,1
68.233333,247,1,325,107,103,103,7.2,8.6,0.169,1
68.266667,248,1,323,106,103,103,6.9,8.0,0.213,1
68.300000,249,1,322,106,104,104,6.6,7.7,0.212,1
68.333333,250,1,322,107,102,102,6.5,7.6,0.316,0
68.366667,251,1,323,108,100,100,6.6,8.0,0.296,1
68.400000,252,1,324,110,98,98,6.1,8.0,0.410,0
68.433333,253,1,324,110,98,98,6.0,7.9,0.409,0
68.466667,254,1,324,110,98,98,5.8,8.7,0.362,0
